question,region,sex,medaille,annee,nbdefemme
Question 3 b vi,Japan,F,t,2012,0.63095238095238095238
Question 3 b vi,Japan,M,t,2012,0.36904761904761904762
Question 3 b vi,Japan,F,t,2014,0.18181818181818181818
Question 3 b vi,Japan,M,t,2014,0.81818181818181818182
Question 3 b vi,Japan,F,t,2016,0.45312500000000000000
Question 3 b vi,Japan,M,t,2016,0.54687500000000000000
Question 3 b vi,South Korea,F,t,1992,0.50000000000000000000
Question 3 b vi,South Korea,M,t,1992,0.50000000000000000000
Question 3 b vi,South Korea,F,t,1994,0.66666666666666666667
Question 3 b vi,South Korea,M,t,1994,0.33333333333333333333
Question 3 b vi,South Korea,F,t,1996,0.71212121212121212121
Question 3 b vi,South Korea,M,t,1996,0.28787878787878787879
Question 3 b vi,South Korea,F,t,1998,0.58333333333333333333
Question 3 b vi,South Korea,M,t,1998,0.41666666666666666667
Question 3 b vi,South Korea,F,t,2000,0.19178082191780821918
Question 3 b vi,South Korea,M,t,2000,0.80821917808219178082
Question 3 b vi,South Korea,F,t,2002,1.00000000000000000000
Question 3 b vi,South Korea,F,t,2004,0.57692307692307692308
Question 3 b vi,South Korea,M,t,2004,0.42307692307692307692
Question 3 b vi,South Korea,F,t,2006,0.42105263157894736842
Question 3 b vi,South Korea,M,t,2006,0.57894736842105263158
Question 3 b vi,South Korea,F,t,2008,0.39743589743589743590
Question 3 b vi,South Korea,M,t,2008,0.60256410256410256410
Question 3 b vi,South Korea,F,t,2010,0.27777777777777777778
Question 3 b vi,South Korea,M,t,2010,0.72222222222222222222
Question 3 b vi,South Korea,F,t,2012,0.24590163934426229508
Question 3 b vi,South Korea,M,t,2012,0.75409836065573770492
Question 3 b vi,South Korea,F,t,2014,0.78571428571428571429
Question 3 b vi,South Korea,M,t,2014,0.21428571428571428571
Question 3 b vi,South Korea,F,t,2016,0.46153846153846153846
Question 3 b vi,South Korea,M,t,2016,0.53846153846153846154
Question 3 b vi,UK,F,t,1992,0.48000000000000000000
Question 3 b vi,UK,M,t,1992,0.52000000000000000000
Question 3 b vi,UK,F,t,1994,0.33333333333333333333
Question 3 b vi,UK,M,t,1994,0.66666666666666666667
Question 3 b vi,UK,F,t,1996,0.03846153846153846154
Question 3 b vi,UK,M,t,1996,0.96153846153846153846
Question 3 b vi,UK,M,t,1998,1.00000000000000000000
Question 3 b vi,UK,F,t,2000,0.27777777777777777778
Question 3 b vi,UK,M,t,2000,0.72222222222222222222
Question 3 b vi,UK,F,t,2002,1.00000000000000000000
Question 3 b vi,UK,F,t,2004,0.38596491228070175439
Question 3 b vi,UK,M,t,2004,0.61403508771929824561
Question 3 b vi,UK,F,t,2006,1.00000000000000000000
Question 3 b vi,UK,F,t,2008,0.35802469135802469136
Question 3 b vi,UK,M,t,2008,0.64197530864197530864
Question 3 b vi,UK,F,t,2010,1.00000000000000000000
Question 3 b vi,UK,F,t,2012,0.39682539682539682540
Question 3 b vi,UK,M,t,2012,0.60317460317460317460
Question 3 b vi,UK,F,t,2014,0.60000000000000000000
Question 3 b vi,UK,M,t,2014,0.40000000000000000000
Question 3 b vi,UK,F,t,2016,0.43448275862068965517
Question 3 b vi,UK,M,t,2016,0.56551724137931034483
